x_normalized v_velocity
0.000000e+00 0.000000e+00
7.812500e-03 1.154125e-02
1.562500e-02 2.308250e-02
2.343750e-02 3.462375e-02
3.125000e-02 4.616500e-02
3.906250e-02 5.770625e-02
4.687500e-02 6.924750e-02
5.468750e-02 8.078875e-02
6.250000e-02 9.233000e-02
7.031250e-02 1.009228e-01
7.812500e-02 1.089227e-01
8.593750e-02 1.160236e-01
9.375000e-02 1.231246e-01
1.015625e-01 1.278399e-01
1.093750e-01 1.325399e-01
1.171875e-01 1.372399e-01
1.250000e-01 1.419399e-01
1.328125e-01 1.466399e-01
1.406250e-01 1.513399e-01
1.484375e-01 1.560399e-01
1.562500e-01 1.607399e-01
1.640625e-01 1.623490e-01
1.718750e-01 1.639382e-01
1.796875e-01 1.655273e-01
1.875000e-01 1.671165e-01
1.953125e-01 1.687057e-01
2.031250e-01 1.702949e-01
2.109375e-01 1.718840e-01
2.187500e-01 1.734732e-01
2.265625e-01 1.750624e-01
2.343750e-01 1.752694e-01
2.421875e-01 1.717301e-01
2.500000e-01 1.681789e-01
2.578125e-01 1.646277e-01
2.656250e-01 1.610765e-01
2.734375e-01 1.575253e-01
2.812500e-01 1.539741e-01
2.890625e-01 1.504228e-01
2.968750e-01 1.468716e-01
3.046875e-01 1.433204e-01
3.125000e-01 1.397692e-01
3.203125e-01 1.362180e-01
3.281250e-01 1.326668e-01
3.359375e-01 1.291155e-01
3.437500e-01 1.255643e-01
3.515625e-01 1.220131e-01
3.593750e-01 1.184619e-01
3.671875e-01 1.149107e-01
3.750000e-01 1.113595e-01
3.828125e-01 1.078082e-01
3.906250e-01 1.042570e-01
3.984375e-01 1.007058e-01
4.062500e-01 9.715460e-02
4.140625e-01 9.360338e-02
4.218750e-01 9.005217e-02
4.296875e-01 8.650095e-02
4.375000e-01 8.294973e-02
4.453125e-01 7.939852e-02
4.531250e-01 7.584730e-02
4.609375e-01 7.229608e-02
4.687500e-01 6.874487e-02
4.765625e-01 6.519365e-02
4.843750e-01 6.164243e-02
4.921875e-01 5.809122e-02
5.000000e-01 5.454000e-02
5.078125e-01 4.685134e-02
5.156250e-01 3.916268e-02
5.234375e-01 3.147402e-02
5.312500e-01 2.378536e-02
5.390625e-01 1.609671e-02
5.468750e-01 8.408046e-03
5.546875e-01 7.193875e-04
5.625000e-01 -6.969271e-03
5.703125e-01 -1.465793e-02
5.781250e-01 -2.234659e-02
5.859375e-01 -3.003525e-02
5.937500e-01 -3.772391e-02
6.015625e-01 -4.541257e-02
6.093750e-01 -5.310122e-02
6.171875e-01 -6.078988e-02
6.250000e-01 -6.847854e-02
6.328125e-01 -7.616720e-02
6.406250e-01 -8.385586e-02
6.484375e-01 -9.154452e-02
6.562500e-01 -9.923318e-02
6.640625e-01 -1.069218e-01
6.718750e-01 -1.146105e-01
6.796875e-01 -1.222992e-01
6.875000e-01 -1.299878e-01
6.953125e-01 -1.376765e-01
7.031250e-01 -1.453651e-01
7.109375e-01 -1.530538e-01
7.187500e-01 -1.607424e-01
7.265625e-01 -1.684311e-01
7.343750e-01 -1.761198e-01
7.421875e-01 -1.838084e-01
7.500000e-01 -1.914971e-01
7.578125e-01 -1.991857e-01
7.656250e-01 -2.068744e-01
7.734375e-01 -2.145631e-01
7.812500e-01 -2.222517e-01
7.890625e-01 -2.299404e-01
7.968750e-01 -2.376290e-01
8.046875e-01 -2.453177e-01
8.125000e-01 -2.423526e-01
8.203125e-01 -2.393704e-01
8.281250e-01 -2.363882e-01
8.359375e-01 -2.334061e-01
8.437500e-01 -2.304239e-01
8.515625e-01 -2.274417e-01
8.593750e-01 -2.244595e-01
8.671875e-01 -2.152661e-01
8.750000e-01 -2.060526e-01
8.828125e-01 -1.968392e-01
8.906250e-01 -1.876258e-01
8.984375e-01 -1.784124e-01
9.062500e-01 -1.691990e-01
9.140625e-01 -1.560015e-01
9.218750e-01 -1.427783e-01
9.296875e-01 -1.295552e-01
9.375000e-01 -1.163320e-01
9.453125e-01 -1.031068e-01
9.531250e-01 -8.859279e-02
9.609375e-01 -7.383951e-02
9.687500e-01 -5.915399e-02
9.765625e-01 -4.436599e-02
9.843750e-01 -2.957732e-02
9.921875e-01 -1.478866e-02
1.000000e+00 0.000000e+00
